variable,x,y
wc2.0_bio_2.5m_6,-45.47599983215331,3.292966766821337E-6
wc2.0_bio_2.5m_6,-45.32441583251953,3.292966766821337E-6
wc2.0_bio_2.5m_6,-45.172831832885734,3.292966766821337E-6
wc2.0_bio_2.5m_6,-45.02124783325195,3.292966766821337E-6
wc2.0_bio_2.5m_6,-44.869663833618155,3.292966766821337E-6
wc2.0_bio_2.5m_6,-44.71807983398437,3.292966766821337E-6
wc2.0_bio_2.5m_6,-44.566495834350576,3.292966766821337E-6
wc2.0_bio_2.5m_6,-44.41491183471679,3.292966766821337E-6
wc2.0_bio_2.5m_6,-44.263327835083004,3.292966766821337E-6
wc2.0_bio_2.5m_6,-44.11174383544921,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.960159835815425,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.80857583618163,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.656991836547846,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.50540783691405,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.35382383728027,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.202239837646474,3.292966766821337E-6
wc2.0_bio_2.5m_6,-43.05065583801269,3.292966766821337E-6
wc2.0_bio_2.5m_6,-42.8990718383789,3.292966766821337E-6
wc2.0_bio_2.5m_6,-42.74748783874511,3.292966766821337E-6
wc2.0_bio_2.5m_6,-42.59590383911132,3.292966766821337E-6
wc2.0_bio_2.5m_6,-42.44431983947753,3.292966766821337E-6
wc2.0_bio_2.5m_6,-42.29273583984374,3.292966766821337E-6
wc2.0_bio_2.5m_6,-42.14115184020996,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.989567840576164,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.83798384094238,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.686399841308585,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.5348158416748,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.383231842041006,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.23164784240722,3.292966766821337E-6
wc2.0_bio_2.5m_6,-41.08006384277343,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.92847984313964,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.776895843505855,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.62531184387206,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.473727844238276,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.32214384460448,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.1705598449707,3.292966766821337E-6
wc2.0_bio_2.5m_6,-40.01897584533691,3.292966766821337E-6
wc2.0_bio_2.5m_6,-39.86739184570312,3.292966766821337E-6
wc2.0_bio_2.5m_6,-39.71580784606933,3.292966766821337E-6
wc2.0_bio_2.5m_6,-39.56422384643554,3.292966766821337E-6
wc2.0_bio_2.5m_6,-39.41263984680175,3.292966766821337E-6
wc2.0_bio_2.5m_6,-39.26105584716796,3.292966766821337E-6
wc2.0_bio_2.5m_6,-39.109471847534174,3.392560756765306E-6
wc2.0_bio_2.5m_6,-38.95788784790038,3.709765678650001E-6
wc2.0_bio_2.5m_6,-38.806303848266595,4.05663877245388E-6
wc2.0_bio_2.5m_6,-38.65471984863281,4.435944902070332E-6
wc2.0_bio_2.5m_6,-38.503135848999015,4.850717687077122E-6
wc2.0_bio_2.5m_6,-38.35155184936523,5.304272235662211E-6
wc2.0_bio_2.5m_6,-38.199967849731436,5.800235157948919E-6
wc2.0_bio_2.5m_6,-38.04838385009765,6.342557753669098E-6
wc2.0_bio_2.5m_6,-37.89679985046386,6.935602868907154E-6
wc2.0_bio_2.5m_6,-37.74521585083007,7.584098966617603E-6
wc2.0_bio_2.5m_6,-37.59363185119628,8.293230166600551E-6
wc2.0_bio_2.5m_6,-37.44204785156249,9.068668077816255E-6
wc2.0_bio_2.5m_6,-37.290463851928706,9.916609997162595E-6
wc2.0_bio_2.5m_6,-37.13887985229491,1.084381165128434E-5
wc2.0_bio_2.5m_6,-36.98729585266113,1.1857732715725433E-5
wc2.0_bio_2.5m_6,-36.835711853027334,1.296645677939523E-5
wc2.0_bio_2.5m_6,-36.68412785339355,1.4178848687151913E-5
wc2.0_bio_2.5m_6,-36.53254385375976,1.5504601833526976E-5
wc2.0_bio_2.5m_6,-36.38095985412597,1.6954312741290778E-5
wc2.0_bio_2.5m_6,-36.22937585449218,1.8539532902650535E-5
wc2.0_bio_2.5m_6,-36.07779185485839,2.0273013433325104E-5
wc2.0_bio_2.5m_6,-35.926207855224604,2.216857683379203E-5
wc2.0_bio_2.5m_6,-35.77462385559081,2.4241377104772255E-5
wc2.0_bio_2.5m_6,-35.623039855957025,2.650798523973208E-5
wc2.0_bio_2.5m_6,-35.47145585632323,2.8986520192120224E-5
wc2.0_bio_2.5m_6,-35.319871856689446,3.169679985148832E-5
wc2.0_bio_2.5m_6,-35.16828785705566,3.466041016508825E-5
wc2.0_bio_2.5m_6,-35.01670385742187,3.79011980840005E-5
wc2.0_bio_2.5m_6,-34.86511985778808,4.1444993257755414E-5
wc2.0_bio_2.5m_6,-34.71353585815429,4.532012826530263E-5
wc2.0_bio_2.5m_6,-34.5619518585205,4.9557584134163335E-5
wc2.0_bio_2.5m_6,-34.410367858886715,5.4191234085010365E-5
wc2.0_bio_2.5m_6,-34.25878385925292,5.925798541284166E-5
wc2.0_bio_2.5m_6,-34.10719985961913,6.479859439423308E-5
wc2.0_bio_2.5m_6,-33.95561585998534,7.085723336786032E-5
wc2.0_bio_2.5m_6,-33.80403186035156,7.748232746962458E-5
wc2.0_bio_2.5m_6,-33.652447860717764,8.47268383949995E-5
wc2.0_bio_2.5m_6,-33.50086386108398,9.264866821467876E-5
wc2.0_bio_2.5m_6,-33.349279861450185,1.0131091403309256E-4
wc2.0_bio_2.5m_6,-33.1976958618164,1.107832504203543E-4
wc2.0_bio_2.5m_6,-33.04611186218261,1.2114117271266878E-4
wc2.0_bio_2.5m_6,-32.89452786254882,1.3246746675577015E-4
wc2.0_bio_2.5m_6,-32.742943862915034,1.4485264546237886E-4
wc2.0_bio_2.5m_6,-32.59135986328124,1.583957055117935E-4
wc2.0_bio_2.5m_6,-32.439775863647455,1.7320449114777148E-4
wc2.0_bio_2.5m_6,-32.28819186401367,1.893980661407113E-4
wc2.0_bio_2.5m_6,-32.136607864379876,2.0710549142677337E-4
wc2.0_bio_2.5m_6,-31.985023864746086,2.2646824072580785E-4
wc2.0_bio_2.5m_6,-31.833439865112297,2.476407680660486E-4
wc2.0_bio_2.5m_6,-31.68185586547851,2.7079274877905846E-4
wc2.0_bio_2.5m_6,-31.530271865844718,2.96108890324831E-4
wc2.0_bio_2.5m_6,-31.37868786621093,3.237910568714142E-4
wc2.0_bio_2.5m_6,-31.227103866577142,3.540610778145492E-4
wc2.0_bio_2.5m_6,-31.075519866943353,3.8716039853170514E-4
wc2.0_bio_2.5m_6,-30.923935867309563,4.233533109072596E-4
wc2.0_bio_2.5m_6,-30.772351867675773,4.6292837942019105E-4
wc2.0_bio_2.5m_6,-30.620767868041987,5.062025156803429E-4
wc2.0_bio_2.5m_6,-30.469183868408194,5.535208038054407E-4
wc2.0_bio_2.5m_6,-30.31759986877441,6.052601966075599E-4
wc2.0_bio_2.5m_6,-30.166015869140615,6.618350162170827E-4
wc2.0_bio_2.5m_6,-30.01443186950683,7.236960809677839E-4
wc2.0_bio_2.5m_6,-29.86284786987304,7.913360605016351E-4
wc2.0_bio_2.5m_6,-29.71126387023925,8.652962278574705E-4
wc2.0_bio_2.5m_6,-29.559679870605464,9.461655863560736E-4
wc2.0_bio_2.5m_6,-29.40809587097167,0.0010345877381041646
wc2.0_bio_2.5m_6,-29.256511871337885,0.001131269964389503
wc2.0_bio_2.5m_6,-29.104927871704096,0.0012369814794510603
wc2.0_bio_2.5m_6,-28.953343872070306,0.0013525629183277488
wc2.0_bio_2.5m_6,-28.801759872436516,0.0014789378037676215
wc2.0_bio_2.5m_6,-28.650175872802727,0.0016171109164133668
wc2.0_bio_2.5m_6,-28.498591873168937,0.0017681795870885253
wc2.0_bio_2.5m_6,-28.347007873535148,0.0019333494128659368
wc2.0_bio_2.5m_6,-28.195423873901362,0.0021139318123459816
wc2.0_bio_2.5m_6,-28.043839874267572,0.002311359392479062
wc2.0_bio_2.5m_6,-27.892255874633783,0.0025272048078477383
wc2.0_bio_2.5m_6,-27.740671874999993,0.002763178665190935
wc2.0_bio_2.5m_6,-27.589087875366204,0.0030211496632546186
wc2.0_bio_2.5m_6,-27.437503875732414,0.0033031688071787357
wc2.0_bio_2.5m_6,-27.285919876098625,0.003611466148868203
wc2.0_bio_2.5m_6,-27.134335876464835,0.003948476631194353
wc2.0_bio_2.5m_6,-26.98275187683105,0.004316872451454401
wc2.0_bio_2.5m_6,-26.83116787719726,0.004719558171927929
wc2.0_bio_2.5m_6,-26.67958387756347,0.005159704014658928
wc2.0_bio_2.5m_6,-26.52799987792968,0.0056407880038022995
wc2.0_bio_2.5m_6,-26.37641587829589,0.006166588049381971
wc2.0_bio_2.5m_6,-26.2248318786621,0.006741226185113192
wc2.0_bio_2.5m_6,-26.07324787902831,0.007369222119450569
wc2.0_bio_2.5m_6,-25.921663879394526,0.008055482991039753
wc2.0_bio_2.5m_6,-25.770079879760736,0.008805357851088047
wc2.0_bio_2.5m_6,-25.618495880126947,0.009624709375202656
wc2.0_bio_2.5m_6,-25.466911880493157,0.010519897565245628
wc2.0_bio_2.5m_6,-25.315327880859368,0.011497849598526955
wc2.0_bio_2.5m_6,-25.163743881225578,0.012566148303449154
wc2.0_bio_2.5m_6,-25.01215988159179,0.013733015395700932
wc2.0_bio_2.5m_6,-24.860575881958,0.015007393434643745
wc2.0_bio_2.5m_6,-24.708991882324213,0.01639905944466591
wc2.0_bio_2.5m_6,-24.557407882690423,0.017918601632118225
wc2.0_bio_2.5m_6,-24.405823883056634,0.019577516242861748
wc2.0_bio_2.5m_6,-24.254239883422844,0.021388357505202293
wc2.0_bio_2.5m_6,-24.102655883789055,0.02336469106376171
wc2.0_bio_2.5m_6,-23.951071884155265,0.02552122063934803
wc2.0_bio_2.5m_6,-23.799487884521476,0.027873968705534935
wc2.0_bio_2.5m_6,-23.64790388488769,0.030440203845500946
wc2.0_bio_2.5m_6,-23.4963198852539,0.03323860093951225
wc2.0_bio_2.5m_6,-23.34473588562011,0.03628944605588913
wc2.0_bio_2.5m_6,-23.19315188598632,0.03961453586816788
wc2.0_bio_2.5m_6,-23.04156788635253,0.04323735460639
wc2.0_bio_2.5m_6,-22.889983886718742,0.0471833199262619
wc2.0_bio_2.5m_6,-22.738399887084952,0.05147962272167206
wc2.0_bio_2.5m_6,-22.586815887451166,0.056155409663915634
wc2.0_bio_2.5m_6,-22.435231887817377,0.06124207377433777
wc2.0_bio_2.5m_6,-22.283647888183587,0.06677298247814178
wc2.0_bio_2.5m_6,-22.132063888549798,0.07278367877006531
wc2.0_bio_2.5m_6,-21.98047988891601,0.07931216806173325
wc2.0_bio_2.5m_6,-21.82889588928222,0.08639848232269287
wc2.0_bio_2.5m_6,-21.67731188964843,0.0940849781036377
wc2.0_bio_2.5m_6,-21.52572789001464,0.10241606831550598
