Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.64676E-12,0.000000001,0.000000003,0.999105457,0,0
2.00097E-12,0.000000003,0.000000004,0.998310307,0,0
2.91386E-12,0.00000001,0.000000006,0.995229102,0,0
5.45094E-12,0.000000025,0.000000011,0.991551536,0,0
1.39123E-11,0.0000001,0.000000029,0.983500646,0,0
2.3995E-11,0.000000251,0.000000049,0.975648544,0,0
5.87022E-11,0.000001002,0.000000121,0.95567041,0,0
1.54884E-10,0.000002508,0.000000319,0.939866812,0,0
6.06194E-10,0.000010005,0.000001248,0.917403837,0,0
1.147E-9,0.000025028,0.000002361,0.90030812,0,0
1.78263E-9,0.000050058,0.00000367,0.883311798,0,0
3.3611E-9,0.000100123,0.00000692,0.863134877,0,0
8.64143E-9,0.000250525,0.00001779,0.83769009,0,0
1.59249E-8,0.000501154,0.000032784,0.81671802,0,0
3.27394E-8,0.001000605,0.000067399,0.795050194,0,0
9.00495E-8,0.002506514,0.00018537,0.768810257,0,0
1.84863E-7,0.005018148,0.000380509,0.750422423,0,0
3.38298E-7,0.010026817,0.00069622,0.730742471,0,0
7.45146E-7,0.02501741,0.001532874,0.701719511,0,0
1.37224E-6,0.050055936,0.002821085,0.677666236,0,0
2.36231E-6,0.100007977,0.004851545,0.650730544,0,0
4.04172E-6,0.200371404,0.008286259,0.619123348,0,0
5.62935E-6,0.300230172,0.011522368,0.598548852,0,0
7.03211E-6,0.400411045,0.014372886,0.582745254,0,0
8.2744E-6,0.500224414,0.016890427,0.569824073,0,0
9.38435E-6,0.600267536,0.019134351,0.558493192,0,0
1.04965E-5,0.700748937,0.021377532,0.548454428,0,0
1.11296E-5,0.750681902,0.022652164,0.543882318,0,0
1.1702E-5,0.801003542,0.023803355,0.539508995,0,0
1.26072E-5,0.90065485,0.025620805,0.531358712,0,0
1.35866E-5,1.000306622,0.027583418,0.523804791,0,0
1.44591E-5,1.101415163,0.029328519,0.516648444,0.002257336,0
1.54105E-5,1.201060661,0.031227884,0.509989067,0.002257336,0
1.62405E-5,1.300682601,0.03288191,0.503727264,0.002257336,0
1.69001E-5,1.40010051,0.034194226,0.497763642,0.002257336,0
1.77156E-5,1.500633181,0.035814368,0.491998807,0.004514673,0
1.97153E-5,1.751891069,0.039775592,0.478680052,0.006772009,0
