x,y,species min
1.0,1.0,2.188782E-6
2.0,2.0,7.6351704E-8
3.0,3.0,1.3368376E-4
4.0,4.0,1.2404684E-9
5.0,5.0,1.815005E-7
6.0,6.0,7.5575845E-5
7.0,7.0,1.5905361E-4
8.0,8.0,4.0681567E-5
9.0,9.0,1.0076344E-5
10.0,10.0,3.929777E-6
11.0,11.0,1.0325982E-4
12.0,12.0,1.01477724E-7
13.0,13.0,8.979203E-7
14.0,14.0,1.3760742E-7
15.0,15.0,2.2795859E-5
16.0,16.0,1.7687829E-7
17.0,17.0,0.002130257
18.0,18.0,3.7446316E-5
19.0,19.0,1.7857326E-4
20.0,20.0,2.5492775E-6
21.0,21.0,4.244836E-7
22.0,22.0,0.0030423093
23.0,23.0,1.5395309E-6
24.0,24.0,1.8624665E-5
25.0,25.0,3.8012736E-8
26.0,26.0,1.9619447E-6
27.0,27.0,7.587504E-6
28.0,28.0,4.457053E-5
29.0,29.0,1.0969373E-4
30.0,30.0,1.0027409E-5
31.0,31.0,0.001319986
32.0,32.0,2.9013307E-8
33.0,33.0,4.345795E-9
34.0,34.0,2.0173016E-5
35.0,35.0,1.0796334E-9
36.0,36.0,1.7729505E-8
37.0,37.0,2.741275E-4
38.0,38.0,7.080639E-7
39.0,39.0,2.8237412E-12
40.0,40.0,2.2353373E-7
41.0,41.0,2.937939E-5
42.0,42.0,2.611556E-5
43.0,43.0,9.1409945E-8
44.0,44.0,4.057771E-5
45.0,45.0,9.9241134E-8
46.0,46.0,1.3571555E-5
47.0,47.0,2.8849536E-4
48.0,48.0,1.1267041E-8
49.0,49.0,4.2404604E-6
50.0,50.0,1.7122958E-4
51.0,51.0,3.717945E-4
52.0,52.0,0.0012388013
53.0,53.0,1.7498098E-7
54.0,54.0,2.800681E-4
55.0,55.0,2.5203717E-6
56.0,56.0,1.5765698E-7
57.0,57.0,2.9605252E-9
58.0,58.0,3.369558E-8
59.0,59.0,1.2522497E-6
60.0,60.0,7.727531E-6
61.0,61.0,1.0981216E-11
62.0,62.0,5.522285E-8
63.0,63.0,5.2090536E-4
64.0,64.0,7.4749516E-7
65.0,65.0,0.015439502
66.0,66.0,2.3823205E-8
67.0,67.0,1.6469347E-4
68.0,68.0,1.9771297E-4
69.0,69.0,0.0024038113
70.0,70.0,2.5156655E-6
71.0,71.0,7.01711E-8
72.0,72.0,2.2083861E-5
73.0,73.0,2.1766814E-6
74.0,74.0,8.259325E-5
75.0,75.0,4.3926047E-8
76.0,76.0,1.4090742E-5
77.0,77.0,3.173479E-5
78.0,78.0,2.6942278E-6
79.0,79.0,1.6563329E-6
80.0,80.0,1.9671583E-5
81.0,81.0,1.5626051E-6
82.0,82.0,5.164932E-7
83.0,83.0,1.7472304E-6
84.0,84.0,0.08925947
85.0,85.0,3.2924781E-6
86.0,86.0,1.3945786E-6
87.0,87.0,1.5102675E-10
88.0,88.0,1.4533503E-5
89.0,89.0,0.006677139
90.0,90.0,1.3491234E-6
91.0,91.0,5.6735265E-5
92.0,92.0,0.0028763597
93.0,93.0,3.2532078E-6
94.0,94.0,5.839568E-4
95.0,95.0,3.1328973E-4
