x,y,species_3 cloglog values
1.0,1.0,1.922977E-5
2.0,2.0,1.9615199E-4
3.0,3.0,1.6648226E-5
4.0,4.0,0.1592357
5.0,5.0,1.4657668E-7
6.0,6.0,0.67132884
7.0,7.0,8.1881956E-7
8.0,8.0,9.596023E-7
9.0,9.0,0.0020121522
10.0,10.0,1.22978E-6
11.0,11.0,6.3562686E-5
12.0,12.0,9.438833E-5
13.0,13.0,6.8080466E-9
14.0,14.0,3.5738612E-10
15.0,15.0,6.040246E-4
16.0,16.0,5.457323E-5
17.0,17.0,0.018889472
18.0,18.0,5.3038266E-6
19.0,19.0,2.4652823E-6
20.0,20.0,3.749725E-6
21.0,21.0,0.0050363895
22.0,22.0,4.0195587E-8
23.0,23.0,1.8777304E-5
24.0,24.0,4.4424323E-5
25.0,25.0,4.365419E-11
26.0,26.0,1.2410878E-5
27.0,27.0,9.763356E-6
28.0,28.0,1.9678891E-4
29.0,29.0,3.6733583E-4
30.0,30.0,1.5235095E-8
31.0,31.0,0.0017118955
32.0,32.0,5.1069183E-8
33.0,33.0,1.3226573E-7
34.0,34.0,1.3418702E-7
35.0,35.0,2.4254052E-9
36.0,36.0,1.2344424E-6
37.0,37.0,6.574853E-8
38.0,38.0,6.71178E-7
39.0,39.0,4.7717344E-7
40.0,40.0,9.686809E-9
41.0,41.0,3.4582747E-5
42.0,42.0,2.4215351E-5
43.0,43.0,4.0370332E-7
44.0,44.0,8.9893077E-4
45.0,45.0,0.24395795
46.0,46.0,7.3003043E-6
47.0,47.0,3.728472E-5
48.0,48.0,2.0154205E-6
49.0,49.0,8.6740684E-4
50.0,50.0,0.20290571
51.0,51.0,5.5647304E-4
52.0,52.0,0.2515465
53.0,53.0,4.859134E-7
54.0,54.0,0.011317324
55.0,55.0,1.498767E-4
56.0,56.0,0.040720176
57.0,57.0,6.561278E-10
58.0,58.0,3.2513682E-7
59.0,59.0,2.9580093E-8
60.0,60.0,5.3391396E-4
61.0,61.0,6.360243E-8
62.0,62.0,9.070204E-6
63.0,63.0,2.042747E-6
64.0,64.0,8.6435676E-7
65.0,65.0,3.37873E-5
66.0,66.0,2.1392699E-10
67.0,67.0,8.459953E-8
68.0,68.0,2.762614E-8
69.0,69.0,0.003408277
70.0,70.0,2.075582E-5
71.0,71.0,0.6207839
72.0,72.0,2.8929773E-7
73.0,73.0,1.916827E-6
74.0,74.0,7.507604E-9
75.0,75.0,8.020536E-6
76.0,76.0,2.8350834E-7
77.0,77.0,4.548774E-8
78.0,78.0,5.902442E-4
79.0,79.0,0.0030539178
80.0,80.0,8.827448E-7
81.0,81.0,1.2169306E-7
82.0,82.0,0.009038944
83.0,83.0,8.841589E-8
84.0,84.0,8.5826387E-4
85.0,85.0,3.0098723E-5
86.0,86.0,3.2400854E-7
87.0,87.0,1.0166208E-5
88.0,88.0,2.885888E-9
89.0,89.0,1.4328794E-5
90.0,90.0,1.1465921E-5
91.0,91.0,1.5921553E-4
92.0,92.0,2.229572E-5
93.0,93.0,0.6849668
94.0,94.0,1.3764601E-5
95.0,95.0,3.4788852E-6
96.0,96.0,0.45393392
97.0,97.0,4.1372624E-7
98.0,98.0,6.5708166E-4
99.0,99.0,3.2082633E-6
100.0,100.0,2.6387877E-6
101.0,101.0,2.1591384E-4
102.0,102.0,5.068322E-4
103.0,103.0,1.3010321E-5
104.0,104.0,6.442204E-7
105.0,105.0,7.0480066E-9
106.0,106.0,1.4115581E-5
107.0,107.0,1.5075671E-9
108.0,108.0,6.0677203E-6
109.0,109.0,7.059929E-7
110.0,110.0,3.9472474E-7
111.0,111.0,3.9049235E-9
112.0,112.0,1.0326818E-4
113.0,113.0,2.51996E-5
114.0,114.0,0.02470645
115.0,115.0,3.3239747E-4
116.0,116.0,2.5679643E-8
117.0,117.0,3.0714727E-5
118.0,118.0,1.316986E-4
119.0,119.0,1.12421485E-8
120.0,120.0,3.4865958E-4
121.0,121.0,9.06297E-8
122.0,122.0,1.6645615E-6
123.0,123.0,9.162867E-5
124.0,124.0,3.4215685E-7
125.0,125.0,0.004326802
126.0,126.0,5.710144E-4
127.0,127.0,1.6805107E-9
128.0,128.0,4.5698423E-10
129.0,129.0,4.9491717E-8
130.0,130.0,9.2654134E-4
131.0,131.0,4.4883977E-6
132.0,132.0,3.794045E-4
133.0,133.0,1.3323088E-7
134.0,134.0,8.8621974E-8
135.0,135.0,9.801811E-8
136.0,136.0,1.1826132E-6
137.0,137.0,7.1699376E-4
138.0,138.0,1.2482059E-5
139.0,139.0,8.2825645E-6
140.0,140.0,2.744117E-7
141.0,141.0,3.6042005E-5
142.0,142.0,3.7382802E-4
143.0,143.0,0.00719486
144.0,144.0,2.2720857E-5
145.0,145.0,2.0787077E-6
146.0,146.0,7.046437E-10
147.0,147.0,3.4569144E-8
148.0,148.0,1.7425479E-6
149.0,149.0,1.6767915E-8
150.0,150.0,0.50705355
151.0,151.0,1.0103344E-7
152.0,152.0,1.1334334E-6
153.0,153.0,4.894472E-5
154.0,154.0,4.5086513E-4
155.0,155.0,2.189717E-7
156.0,156.0,1.912117E-6
157.0,157.0,8.2750083E-4
158.0,158.0,5.2790105E-4
159.0,159.0,1.583271E-4
160.0,160.0,8.352167E-6
161.0,161.0,9.7970005E-5
162.0,162.0,1.9845323E-4
163.0,163.0,1.998844E-6
164.0,164.0,3.9198318E-7
165.0,165.0,1.16400115E-4
166.0,166.0,1.645839E-11
167.0,167.0,5.104206E-10
168.0,168.0,4.640004E-6
169.0,169.0,1.9873796E-5
170.0,170.0,0.0020699045
171.0,171.0,1.0425004E-4
172.0,172.0,7.142682E-5
173.0,173.0,0.40584493
174.0,174.0,3.1810152E-4
175.0,175.0,2.6432574E-6
176.0,176.0,0.01016715
177.0,177.0,6.1490973E-6
178.0,178.0,1.5834135E-7
179.0,179.0,1.2111485E-4
180.0,180.0,7.04935E-5
181.0,181.0,1.281281E-5
182.0,182.0,2.3727183E-5
183.0,183.0,0.023371054
184.0,184.0,0.0019500515
185.0,185.0,4.6695047E-4
186.0,186.0,0.0012916516
187.0,187.0,1.7443123E-6
188.0,188.0,1.0225613E-4
189.0,189.0,6.634527E-8
190.0,190.0,5.4126797E-8
191.0,191.0,2.1598325E-7
192.0,192.0,0.0011813957
193.0,193.0,1.0503581E-5
194.0,194.0,9.995094E-9
195.0,195.0,6.6557377E-6
196.0,196.0,7.527343E-5
197.0,197.0,5.4789956E-7
198.0,198.0,4.037783E-6
199.0,199.0,3.216167E-7
200.0,200.0,1.1600588E-6
201.0,201.0,0.0015439268
202.0,202.0,3.5437297E-6
203.0,203.0,1.7231832E-8
204.0,204.0,0.18878108
205.0,205.0,2.5302245E-7
206.0,206.0,2.1179845E-9
207.0,207.0,5.4124685E-6
208.0,208.0,2.4314745E-6
209.0,209.0,0.005841278
210.0,210.0,8.748781E-7
211.0,211.0,6.334245E-8
212.0,212.0,7.0323385E-6
213.0,213.0,4.8321715E-7
214.0,214.0,8.639769E-6
215.0,215.0,9.5983583E-4
216.0,216.0,4.812671E-8
217.0,217.0,4.2423864E-5
218.0,218.0,9.8770315E-8
219.0,219.0,3.5408343E-12
220.0,220.0,7.330452E-8
221.0,221.0,3.3339174E-6
222.0,222.0,1.3167016E-6
223.0,223.0,1.7450502E-5
224.0,224.0,3.3210064E-8
225.0,225.0,2.586495E-5
226.0,226.0,3.7096807E-8
227.0,227.0,1.1775379E-6
228.0,228.0,5.4135046E-7
229.0,229.0,0.002334865
230.0,230.0,3.6776475E-9
231.0,231.0,5.882367E-7
232.0,232.0,0.0012249646
233.0,233.0,1.637579E-12
234.0,234.0,6.49734E-6
235.0,235.0,2.5748104E-6
236.0,236.0,0.001822601
237.0,237.0,1.3490566E-9
238.0,238.0,2.7147398E-9
239.0,239.0,4.227422E-7
240.0,240.0,1.159847E-6
241.0,241.0,3.1493785E-6
242.0,242.0,0.0015165438
243.0,243.0,5.4360856E-7
244.0,244.0,1.1767893E-5
245.0,245.0,1.4942358E-10
246.0,246.0,2.0137611E-7
247.0,247.0,1.5648226E-4
