variable,x,y
wc2.0_bio_2.5m_1,-29.308302116394067,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-29.18161084289553,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-29.054919569396997,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.92822829589846,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.801537022399927,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.67484574890139,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.548154475402857,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.42146320190432,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.294771928405787,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.16808065490725,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-28.041389381408713,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.91469810791018,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.788006834411643,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.66131556091311,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.534624287414573,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.40793301391604,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.281241740417503,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.15455046691897,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-27.027859193420433,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.901167919921896,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.774476646423363,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.647785372924826,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.521094099426293,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.394402825927756,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.26771155242922,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.141020278930686,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-26.01432900543215,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.887637731933616,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.76094645843508,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.634255184936546,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.50756391143801,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.380872637939476,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.25418136444094,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.127490090942402,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-25.00079881744387,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.874107543945332,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.7474162704468,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.62072499694826,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.494033723449725,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.36734244995119,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.24065117645266,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-24.11395990295412,1.7541912367136092E-10
wc2.0_bio_2.5m_1,-23.987268629455585,1.8049650662987915E-10
wc2.0_bio_2.5m_1,-23.86057735595705,1.9662727002156544E-10
wc2.0_bio_2.5m_1,-23.733886082458515,2.1419943596612256E-10
wc2.0_bio_2.5m_1,-23.60719480895998,2.3334234544591936E-10
wc2.0_bio_2.5m_1,-23.480503535461445,2.5419599758436107E-10
wc2.0_bio_2.5m_1,-23.353812261962908,2.7691293702503117E-10
wc2.0_bio_2.5m_1,-23.227120988464375,3.016604743777407E-10
wc2.0_bio_2.5m_1,-23.10042971496584,3.2861968701780597E-10
wc2.0_bio_2.5m_1,-22.973738441467304,3.579881946436103E-10
wc2.0_bio_2.5m_1,-22.847047167968768,3.899808254104187E-10
wc2.0_bio_2.5m_1,-22.720355894470234,4.2483305762175405E-10
wc2.0_bio_2.5m_1,-22.593664620971698,4.6280013155097777E-10
wc2.0_bio_2.5m_1,-22.466973347473164,5.041596029542461E-10
wc2.0_bio_2.5m_1,-22.340282073974628,5.492160060072138E-10
wc2.0_bio_2.5m_1,-22.21359080047609,5.982990769481944E-10
wc2.0_bio_2.5m_1,-22.086899526977557,6.51768639059469E-10
wc2.0_bio_2.5m_1,-21.960208253479024,7.100158239126131E-10
wc2.0_bio_2.5m_1,-21.833516979980487,7.734695106620393E-10
wc2.0_bio_2.5m_1,-21.70682570648195,8.425938835543434E-10
wc2.0_bio_2.5m_1,-21.580134432983417,9.178947601995446E-10
wc2.0_bio_2.5m_1,-21.45344315948488,9.999263639315359E-10
wc2.0_bio_2.5m_1,-21.326751885986347,1.0892891033620344E-9
wc2.0_bio_2.5m_1,-21.20006061248781,1.1866381210978716E-9
wc2.0_bio_2.5m_1,-21.073369338989274,1.2926854031647395E-9
wc2.0_bio_2.5m_1,-20.94667806549074,1.4082118804381594E-9
wc2.0_bio_2.5m_1,-20.819986791992203,1.5340627657067785E-9
wc2.0_bio_2.5m_1,-20.69329551849367,1.6711587669249184E-9
wc2.0_bio_2.5m_1,-20.566604244995133,1.8205090768219634E-9
wc2.0_bio_2.5m_1,-20.439912971496597,1.983206709965657E-9
wc2.0_bio_2.5m_1,-20.313221697998063,2.1604444899736563E-9
