x,y,species_8 cloglog values
1.0,1.0,1.7749213E-7
2.0,2.0,1.0084309E-4
3.0,3.0,2.5582797E-4
4.0,4.0,0.023745116
5.0,5.0,1.0467157E-6
6.0,6.0,1.3453815E-4
7.0,7.0,0.028170204
8.0,8.0,6.278692E-4
9.0,9.0,0.004638552
10.0,10.0,3.987256E-6
11.0,11.0,0.011455447
12.0,12.0,0.0121027045
13.0,13.0,0.24206786
14.0,14.0,0.022703832
15.0,15.0,0.04199072
16.0,16.0,0.0027092397
17.0,17.0,0.005862184
18.0,18.0,8.60562E-5
19.0,19.0,6.5733364E-4
20.0,20.0,0.056399237
21.0,21.0,0.003999723
22.0,22.0,9.9821435E-8
23.0,23.0,0.005725962
24.0,24.0,0.0059713474
25.0,25.0,4.3112516E-7
26.0,26.0,0.050838627
27.0,27.0,2.6475565E-4
28.0,28.0,0.056770984
29.0,29.0,1.1508332E-5
30.0,30.0,0.0018304819
31.0,31.0,9.096896E-5
32.0,32.0,2.0387516E-4
33.0,33.0,2.383229E-4
34.0,34.0,0.5554256
35.0,35.0,0.0035007822
36.0,36.0,5.5875303E-4
37.0,37.0,0.1901442
38.0,38.0,0.008121403
39.0,39.0,8.6040585E-5
40.0,40.0,1.2850759E-6
41.0,41.0,0.40981397
42.0,42.0,2.5209173E-4
43.0,43.0,2.2847293E-4
44.0,44.0,8.857341E-6
45.0,45.0,0.009476023
46.0,46.0,2.869472E-4
47.0,47.0,1.8142184E-4
48.0,48.0,0.013421465
49.0,49.0,6.852593E-5
50.0,50.0,0.06415964
51.0,51.0,0.0022267392
52.0,52.0,0.009576049
53.0,53.0,2.6311218E-5
54.0,54.0,0.005890494
55.0,55.0,2.4822613E-4
56.0,56.0,0.27683768
57.0,57.0,0.0026594112
58.0,58.0,6.8882783E-4
59.0,59.0,0.0011969501
60.0,60.0,1.27397E-4
61.0,61.0,1.6047551E-4
62.0,62.0,0.011523276
63.0,63.0,2.3938058E-4
64.0,64.0,0.0027100754
65.0,65.0,0.0064304443
66.0,66.0,7.6739746E-4
67.0,67.0,2.4576405E-8
68.0,68.0,2.122857E-4
69.0,69.0,0.0025613839
70.0,70.0,0.0017298335
71.0,71.0,7.939924E-4
72.0,72.0,0.38539892
73.0,73.0,0.038019914
74.0,74.0,0.004403789
75.0,75.0,0.001256026
76.0,76.0,0.016961826
77.0,77.0,0.0012650748
78.0,78.0,0.0023410635
79.0,79.0,0.0017132767
80.0,80.0,0.006360511
81.0,81.0,0.67297953
