variable,x,y
wc2.0_bio_2.5m_5,-12.350799894332885,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-12.227660691833496,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-12.104521489334106,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.981382286834716,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.858243084335326,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.735103881835936,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.611964679336548,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.488825476837158,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.365686274337769,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.242547071838379,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-11.119407869338989,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.9962686668396,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.87312946434021,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.74999026184082,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.62685105934143,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.50371185684204,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.38057265434265,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.257433451843262,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.13429424934387,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-10.011155046844483,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.888015844345093,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.764876641845703,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.641737439346313,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.518598236846923,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.395459034347533,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.272319831848144,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.149180629348754,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-9.026041426849364,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.902902224349976,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.779763021850584,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.656623819351196,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.533484616851807,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.410345414352417,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.287206211853027,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.164067009353637,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-8.040927806854247,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.9177886043548575,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.794649401855469,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.671510199356079,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.548370996856689,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.425231794357299,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.302092591857909,2.3672826500842348E-5
wc2.0_bio_2.5m_5,-7.17895338935852,2.416358438495081E-5
wc2.0_bio_2.5m_5,-7.055814186859131,2.5696734155644663E-5
wc2.0_bio_2.5m_5,-6.932674984359741,2.7325570044922642E-5
wc2.0_bio_2.5m_5,-6.809535781860351,2.9055949198664166E-5
wc2.0_bio_2.5m_5,-6.686396579360961,3.0894105293555185E-5
wc2.0_bio_2.5m_5,-6.563257376861571,3.284662670921534E-5
