variable,x,y
wc2.0_bio_2.5m_1,-28.61523399353032,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-28.48880439147954,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-28.36237478942876,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-28.23594518737798,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-28.109515585327195,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.983085983276414,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.856656381225633,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.730226779174853,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.603797177124072,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.477367575073288,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.350937973022507,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.224508370971726,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-27.098078768920946,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.971649166870165,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.845219564819384,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.718789962768604,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.59236036071782,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.46593075866704,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.339501156616258,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.213071554565477,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-26.086641952514697,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.960212350463912,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.83378274841313,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.70735314636235,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.58092354431157,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.45449394226079,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.32806434021001,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.201634738159225,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-25.075205136108444,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.948775534057663,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.822345932006883,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.695916329956102,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.56948672790532,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.443057125854537,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.316627523803756,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.190197921752976,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-24.063768319702195,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-23.937338717651414,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-23.81090911560063,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-23.684479513549853,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-23.55804991149907,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-23.431620309448288,1.5108750517356384E-7
wc2.0_bio_2.5m_1,-23.305190707397507,1.5454111235158052E-7
wc2.0_bio_2.5m_1,-23.178761105346727,1.6537948965833493E-7
wc2.0_bio_2.5m_1,-23.052331503295946,1.7697219334422698E-7
wc2.0_bio_2.5m_1,-22.92590190124516,1.893717040957199E-7
wc2.0_bio_2.5m_1,-22.79947229919438,2.0263333055936528E-7
wc2.0_bio_2.5m_1,-22.6730426971436,2.1681698569864238E-7
wc2.0_bio_2.5m_1,-22.54661309509282,2.3198585097361502E-7
wc2.0_bio_2.5m_1,-22.42018349304204,2.4820832322802744E-7
wc2.0_bio_2.5m_1,-22.293753890991255,2.6555647991699516E-7
wc2.0_bio_2.5m_1,-22.167324288940478,2.8410843810888764E-7
wc2.0_bio_2.5m_1,-22.040894686889693,3.039464786525059E-7
wc2.0_bio_2.5m_1,-21.914465084838913,3.251597320286237E-7
wc2.0_bio_2.5m_1,-21.788035482788132,3.4784210356519907E-7
wc2.0_bio_2.5m_1,-21.66160588073735,3.72095286138574E-7
wc2.0_bio_2.5m_1,-21.53517627868657,3.980264580150106E-7
