variable,x,y
wc2.0_bio_2.5m_6,-46.42213268280028,2.753353101070388E-13
wc2.0_bio_2.5m_6,-46.26819348449706,2.753353101070388E-13
wc2.0_bio_2.5m_6,-46.114254286193834,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.96031508789061,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.80637588958739,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.652436691284166,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.498497492980945,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.344558294677725,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.1906190963745,2.753353101070388E-13
wc2.0_bio_2.5m_6,-45.03667989807128,2.753353101070388E-13
wc2.0_bio_2.5m_6,-44.88274069976806,2.753353101070388E-13
wc2.0_bio_2.5m_6,-44.72880150146483,2.753353101070388E-13
wc2.0_bio_2.5m_6,-44.57486230316161,2.753353101070388E-13
wc2.0_bio_2.5m_6,-44.42092310485839,2.753353101070388E-13
wc2.0_bio_2.5m_6,-44.26698390655516,2.753353101070388E-13
wc2.0_bio_2.5m_6,-44.11304470825194,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.95910550994872,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.80516631164549,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.65122711334227,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.49728791503905,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.343348716735825,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.189409518432605,2.753353101070388E-13
wc2.0_bio_2.5m_6,-43.035470320129384,2.753353101070388E-13
wc2.0_bio_2.5m_6,-42.88153112182616,2.753353101070388E-13
wc2.0_bio_2.5m_6,-42.72759192352294,2.753353101070388E-13
wc2.0_bio_2.5m_6,-42.573652725219716,2.753353101070388E-13
wc2.0_bio_2.5m_6,-42.41971352691649,2.753353101070388E-13
wc2.0_bio_2.5m_6,-42.26577432861327,2.753353101070388E-13
wc2.0_bio_2.5m_6,-42.11183513031005,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.95789593200682,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.8039567337036,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.65001753540038,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.49607833709715,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.34213913879393,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.188199940490705,2.753353101070388E-13
wc2.0_bio_2.5m_6,-41.034260742187485,2.753353101070388E-13
wc2.0_bio_2.5m_6,-40.880321543884264,2.753353101070388E-13
wc2.0_bio_2.5m_6,-40.726382345581044,2.753353101070388E-13
wc2.0_bio_2.5m_6,-40.572443147277816,2.753353101070388E-13
wc2.0_bio_2.5m_6,-40.418503948974596,2.753353101070388E-13
wc2.0_bio_2.5m_6,-40.26456475067137,2.753353101070388E-13
wc2.0_bio_2.5m_6,-40.11062555236815,2.753353101070388E-13
wc2.0_bio_2.5m_6,-39.95668635406493,2.8832491949515315E-13
wc2.0_bio_2.5m_6,-39.80274715576171,3.311795282456842E-13
wc2.0_bio_2.5m_6,-39.64880795745848,3.8036240823657863E-13
wc2.0_bio_2.5m_6,-39.49486875915526,4.368727601899991E-13
wc2.0_bio_2.5m_6,-39.34092956085204,5.017097848281082E-13
wc2.0_bio_2.5m_6,-39.18699036254881,5.762057497804562E-13
wc2.0_bio_2.5m_6,-39.03305116424559,6.616929226765933E-13
wc2.0_bio_2.5m_6,-38.87911196594237,7.599476603559197E-13
wc2.0_bio_2.5m_6,-38.725172767639144,8.728573419602981E-13
wc2.0_bio_2.5m_6,-38.571233569335924,1.0024203689340538E-12
wc2.0_bio_2.5m_6,-38.417294371032696,1.1513012765362873E-12
wc2.0_bio_2.5m_6,-38.263355172729476,1.322164600026099E-12
wc2.0_bio_2.5m_6,-38.109415974426256,1.5185630530822891E-12
wc2.0_bio_2.5m_6,-37.955476776123035,1.7439383270811959E-12
wc2.0_bio_2.5m_6,-37.80153757781981,2.002953358726245E-12
wc2.0_bio_2.5m_6,-37.64759837951659,2.3003821070233244E-12
wc2.0_bio_2.5m_6,-37.49365918121336,2.6418867093980225E-12
wc2.0_bio_2.5m_6,-37.33971998291014,3.0341285039980903E-12
wc2.0_bio_2.5m_6,-37.18578078460692,3.484657007390979E-12
wc2.0_bio_2.5m_6,-37.0318415863037,4.002131959168764E-12
wc2.0_bio_2.5m_6,-36.87790238800047,4.596323321948148E-12
wc2.0_bio_2.5m_6,-36.72396318969725,5.278777415185232E-12
wc2.0_bio_2.5m_6,-36.570023991394024,6.062594870570592E-12
wc2.0_bio_2.5m_6,-36.4160847930908,6.962763698936669E-12
wc2.0_bio_2.5m_6,-36.26214559478758,7.996603379467615E-12
wc2.0_bio_2.5m_6,-36.10820639648436,9.18398690430422E-12
wc2.0_bio_2.5m_6,-35.954267198181135,1.05476738454513E-11
wc2.0_bio_2.5m_6,-35.800327999877915,1.2113754443987546E-11
wc2.0_bio_2.5m_6,-35.64638880157469,1.3912426766182762E-11
wc2.0_bio_2.5m_6,-35.49244960327147,1.5978107725800328E-11
wc2.0_bio_2.5m_6,-35.33851040496825,1.8350654329424287E-11
wc2.0_bio_2.5m_6,-35.18457120666503,2.1075363676459347E-11
wc2.0_bio_2.5m_6,-35.0306320083618,2.4204638293667813E-11
wc2.0_bio_2.5m_6,-34.87669281005858,2.7798541246681907E-11
wc2.0_bio_2.5m_6,-34.72275361175535,3.1926128407633314E-11
wc2.0_bio_2.5m_6,-34.56881441345213,3.666666970048027E-11
wc2.0_bio_2.5m_6,-34.41487521514891,4.211098136863711E-11
wc2.0_bio_2.5m_6,-34.26093601684568,4.836364642102353E-11
wc2.0_bio_2.5m_6,-34.10699681854246,5.5544679966601507E-11
wc2.0_bio_2.5m_6,-33.95305762023924,6.379230477193687E-11
wc2.0_bio_2.5m_6,-33.799118421936015,7.326417250652639E-11
wc2.0_bio_2.5m_6,-33.645179223632795,8.414247076871106E-11
wc2.0_bio_2.5m_6,-33.491240025329574,9.663603250942288E-11
wc2.0_bio_2.5m_6,-33.337300827026354,1.1098499896888825E-10
wc2.0_bio_2.5m_6,-33.18336162872313,1.274641503457019E-10
wc2.0_bio_2.5m_6,-33.029422430419906,1.4639012224648695E-10
wc2.0_bio_2.5m_6,-32.87548323211668,1.6812617964490073E-10
wc2.0_bio_2.5m_6,-32.72154403381346,1.9309032150971461E-10
wc2.0_bio_2.5m_6,-32.56760483551024,2.2176049885302973E-10
wc2.0_bio_2.5m_6,-32.41366563720702,2.5468771536196755E-10
wc2.0_bio_2.5m_6,-32.25972643890379,2.925039099821447E-10
wc2.0_bio_2.5m_6,-32.10578724060057,3.359362787946907E-10
wc2.0_bio_2.5m_6,-31.951848042297346,3.858156016889325E-10
wc2.0_bio_2.5m_6,-31.797908843994122,4.4310255464807824E-10
wc2.0_bio_2.5m_6,-31.643969645690902,5.088947041542724E-10
wc2.0_bio_2.5m_6,-31.490030447387678,5.844567052548655E-10
wc2.0_bio_2.5m_6,-31.336091249084454,6.712372879746908E-10
wc2.0_bio_2.5m_6,-31.182152050781234,7.709043403636429E-10
wc2.0_bio_2.5m_6,-31.028212852478006,8.853687782917063E-10
wc2.0_bio_2.5m_6,-30.874273654174786,1.016830730726781E-9
wc2.0_bio_2.5m_6,-30.720334455871566,1.1678105149570683E-9
wc2.0_bio_2.5m_6,-30.56639525756834,1.3412100319243336E-9
wc2.0_bio_2.5m_6,-30.412456059265118,1.540353844475817E-9
wc2.0_bio_2.5m_6,-30.258516860961894,1.7690696685335183E-9
wc2.0_bio_2.5m_6,-30.104577662658674,2.031742329933195E-9
wc2.0_bio_2.5m_6,-29.950638464355453,2.3334210119685395E-9
wc2.0_bio_2.5m_6,-29.796699266052226,2.679888755352522E-9
wc2.0_bio_2.5m_6,-29.642760067749006,3.0778060100544735E-9
wc2.0_bio_2.5m_6,-29.48882086944578,3.534800674387384E-9
wc2.0_bio_2.5m_6,-29.33488167114256,4.059657499055902E-9
wc2.0_bio_2.5m_6,-29.180942472839337,4.662437991242996E-9
wc2.0_bio_2.5m_6,-29.027003274536114,5.354729104567468E-9
wc2.0_bio_2.5m_6,-28.87306407623289,6.149803333244108E-9
wc2.0_bio_2.5m_6,-28.71912487792967,7.0629302406644E-9
wc2.0_bio_2.5m_6,-28.565185679626445,8.111652682885051E-9
wc2.0_bio_2.5m_6,-28.41124648132322,9.316076798882023E-9
wc2.0_bio_2.5m_6,-28.25730728302,1.0699352515075589E-8
wc2.0_bio_2.5m_6,-28.103368084716777,1.2287999950899575E-8
wc2.0_bio_2.5m_6,-27.949428886413557,1.4112554680423273E-8
wc2.0_bio_2.5m_6,-27.795489688110333,1.620799672252815E-8
wc2.0_bio_2.5m_6,-27.64155048980711,1.861460319219077E-8
wc2.0_bio_2.5m_6,-27.487611291503885,2.1378513181957715E-8
wc2.0_bio_2.5m_6,-27.333672093200665,2.4552850419468086E-8
wc2.0_bio_2.5m_6,-27.17973289489744,2.8198474666396578E-8
wc2.0_bio_2.5m_6,-27.025793696594217,3.238546142370069E-8
wc2.0_bio_2.5m_6,-26.871854498290993,3.719407715152556E-8
wc2.0_bio_2.5m_6,-26.717915299987773,4.271674924893887E-8
wc2.0_bio_2.5m_6,-26.563976101684553,4.905936279442358E-8
wc2.0_bio_2.5m_6,-26.41003690338133,5.634382915786773E-8
wc2.0_bio_2.5m_6,-26.256097705078105,6.470979485584394E-8
wc2.0_bio_2.5m_6,-26.10215850677488,7.431808057845046E-8
wc2.0_bio_2.5m_6,-25.94821930847166,8.53528803190784E-8
wc2.0_bio_2.5m_6,-25.794280110168437,9.802613476495026E-8
wc2.0_bio_2.5m_6,-25.640340911865213,1.125813184899016E-7
wc2.0_bio_2.5m_6,-25.48640171356199,1.2929746162626543E-7
wc2.0_bio_2.5m_6,-25.33246251525877,1.4849590002086188E-7
wc2.0_bio_2.5m_6,-25.178523316955545,1.7054466638910526E-7
wc2.0_bio_2.5m_6,-25.024584118652324,1.9586759947287646E-7
wc2.0_bio_2.5m_6,-24.8706449203491,2.249501420692468E-7
