variable,x,y
wc2.0_bio_2.5m_6,-46.693200302124026,3.246839463955098E-10
wc2.0_bio_2.5m_6,-46.540051501464845,3.246839463955098E-10
wc2.0_bio_2.5m_6,-46.38690270080566,3.246839463955098E-10
wc2.0_bio_2.5m_6,-46.23375390014649,3.246839463955098E-10
wc2.0_bio_2.5m_6,-46.08060509948731,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.927456298828126,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.774307498168945,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.62115869750977,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.46800989685059,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.31486109619141,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.161712295532226,3.246839463955098E-10
wc2.0_bio_2.5m_6,-45.00856349487305,3.246839463955098E-10
wc2.0_bio_2.5m_6,-44.85541469421387,3.246839463955098E-10
wc2.0_bio_2.5m_6,-44.70226589355469,3.246839463955098E-10
wc2.0_bio_2.5m_6,-44.54911709289551,3.246839463955098E-10
wc2.0_bio_2.5m_6,-44.39596829223633,3.246839463955098E-10
wc2.0_bio_2.5m_6,-44.24281949157715,3.246839463955098E-10
wc2.0_bio_2.5m_6,-44.08967069091797,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.93652189025879,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.783373089599614,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.63022428894043,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.47707548828125,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.32392668762207,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.170777886962895,3.246839463955098E-10
wc2.0_bio_2.5m_6,-43.017629086303714,3.246839463955098E-10
wc2.0_bio_2.5m_6,-42.86448028564453,3.246839463955098E-10
wc2.0_bio_2.5m_6,-42.71133148498535,3.246839463955098E-10
wc2.0_bio_2.5m_6,-42.55818268432618,3.246839463955098E-10
wc2.0_bio_2.5m_6,-42.405033883666995,3.246839463955098E-10
wc2.0_bio_2.5m_6,-42.251885083007814,3.246839463955098E-10
wc2.0_bio_2.5m_6,-42.09873628234864,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.94558748168946,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.792438681030276,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.639289880371095,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.48614107971191,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.33299227905274,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.17984347839356,3.246839463955098E-10
wc2.0_bio_2.5m_6,-41.026694677734376,3.246839463955098E-10
