x,y,species_6 cloglog values
1.0,1.0,0.006124107
2.0,2.0,0.021723697
3.0,3.0,0.0035878448
4.0,4.0,0.028189722
5.0,5.0,0.015193657
6.0,6.0,1.983379E-4
7.0,7.0,5.8844467E-5
8.0,8.0,0.0030295628
9.0,9.0,2.2963724E-4
10.0,10.0,1.269568E-4
11.0,11.0,0.0014078753
12.0,12.0,1.8242195E-5
13.0,13.0,4.4595974E-5
14.0,14.0,0.7028188
15.0,15.0,0.0022623676
16.0,16.0,0.019838765
17.0,17.0,0.0011239103
18.0,18.0,0.6581596
19.0,19.0,0.030673672
20.0,20.0,0.0019245129
21.0,21.0,1.2125809E-4
22.0,22.0,6.5817985E-6
23.0,23.0,1.1340821E-5
24.0,24.0,0.0013792147
25.0,25.0,0.4478303
26.0,26.0,3.3901422E-6
27.0,27.0,0.0013641018
28.0,28.0,6.49757E-4
29.0,29.0,1.8302229E-4
30.0,30.0,0.0035189572
31.0,31.0,0.73815936
32.0,32.0,9.3686255E-4
33.0,33.0,0.0012051996
34.0,34.0,1.4914104E-5
35.0,35.0,0.0014717641
36.0,36.0,1.5188567E-6
37.0,37.0,0.01060529
38.0,38.0,8.7574954E-5
39.0,39.0,4.5352837E-5
40.0,40.0,0.4070094
41.0,41.0,0.003990207
42.0,42.0,3.007203E-4
43.0,43.0,0.56666815
44.0,44.0,0.0010926302
45.0,45.0,1.3002999E-4
46.0,46.0,6.152658E-4
47.0,47.0,0.0033912072
48.0,48.0,0.0010478636
49.0,49.0,9.9546705E-5
50.0,50.0,1.2780752E-5
51.0,51.0,6.414163E-4
52.0,52.0,0.0075906697
53.0,53.0,3.6059848E-6
54.0,54.0,0.672935
55.0,55.0,0.3509487
56.0,56.0,0.0013375859
57.0,57.0,0.010938934
58.0,58.0,4.0848163E-6
59.0,59.0,1.51134345E-5
60.0,60.0,5.222122E-4
61.0,61.0,2.6622341E-5
62.0,62.0,9.5799204E-4
63.0,63.0,1.3679004E-4
64.0,64.0,3.3835207E-5
65.0,65.0,5.3658627E-5
66.0,66.0,0.0014011653
67.0,67.0,6.386502E-4
68.0,68.0,9.544062E-4
69.0,69.0,6.847194E-5
70.0,70.0,0.011753012
71.0,71.0,0.021929946
72.0,72.0,1.0776971E-5
73.0,73.0,0.0018376156
74.0,74.0,4.443218E-6
75.0,75.0,0.0011860618
76.0,76.0,9.600133E-4
77.0,77.0,0.0021867272
78.0,78.0,3.7850517E-5
79.0,79.0,0.63662297
80.0,80.0,0.004758798
81.0,81.0,0.0030583974
82.0,82.0,0.5150059
83.0,83.0,0.0010405815
84.0,84.0,0.0011018253
85.0,85.0,1.02809834E-4
86.0,86.0,0.0026479918
87.0,87.0,0.0681183
88.0,88.0,7.7315903E-4
89.0,89.0,0.0020615733
90.0,90.0,0.0032720782
91.0,91.0,2.3980769E-4
92.0,92.0,8.432007E-4
93.0,93.0,5.2161886E-5
94.0,94.0,1.6350159E-5
95.0,95.0,0.6544082
96.0,96.0,4.42089E-4
97.0,97.0,4.4127792E-4
98.0,98.0,9.396855E-4
99.0,99.0,0.75386447
100.0,100.0,0.043040633
101.0,101.0,0.674954
102.0,102.0,0.021840481
103.0,103.0,0.7007838
104.0,104.0,0.67843354
105.0,105.0,0.011033022
106.0,106.0,0.5729159
107.0,107.0,5.252031E-5
108.0,108.0,0.0019380472
109.0,109.0,2.0430153E-4
110.0,110.0,0.021791335
111.0,111.0,1.455147E-4
112.0,112.0,0.005738622
113.0,113.0,4.9201737E-4
114.0,114.0,2.6267424E-5
115.0,115.0,6.44644E-4
116.0,116.0,1.0395351E-4
117.0,117.0,0.024992332
118.0,118.0,0.0024149301
119.0,119.0,0.6894408
120.0,120.0,7.820435E-4
121.0,121.0,0.0015936476
122.0,122.0,0.0010409774
123.0,123.0,0.095356904
124.0,124.0,0.00394163
125.0,125.0,3.631008E-4
126.0,126.0,3.4515443E-7
127.0,127.0,6.4462086E-4
128.0,128.0,0.005723627
129.0,129.0,0.47416976
130.0,130.0,0.0039375247
131.0,131.0,0.0026171545
132.0,132.0,0.009232954
133.0,133.0,2.1846416E-5
134.0,134.0,5.674644E-4
135.0,135.0,2.7689425E-4
136.0,136.0,0.005254081
137.0,137.0,7.2981056E-5
138.0,138.0,0.021469321
139.0,139.0,0.0023841534
140.0,140.0,4.006675E-4
141.0,141.0,0.0015028742
142.0,142.0,0.67201674
143.0,143.0,0.002662264
144.0,144.0,0.25859782
145.0,145.0,0.0015327944
146.0,146.0,1.0375346E-6
147.0,147.0,4.1924184E-4
148.0,148.0,0.0011140414
149.0,149.0,1.2919672E-6
150.0,150.0,0.0065458505
151.0,151.0,6.430498E-6
152.0,152.0,8.4738596E-4
153.0,153.0,0.55214775
154.0,154.0,0.6916701
155.0,155.0,4.7378495E-7
156.0,156.0,3.6593843E-5
157.0,157.0,0.45217738
158.0,158.0,4.7240267E-4
159.0,159.0,0.6532237
160.0,160.0,2.9688166E-5
161.0,161.0,3.8040156E-4
162.0,162.0,1.2190236E-4
163.0,163.0,0.009785152
164.0,164.0,0.66751593
165.0,165.0,2.3803249E-4
166.0,166.0,2.8168337E-4
167.0,167.0,0.016169112
168.0,168.0,7.6654844E-4
169.0,169.0,0.0024324844
170.0,170.0,7.4355144E-6
171.0,171.0,1.1794592E-5
172.0,172.0,0.0047258968
173.0,173.0,0.0014269082
174.0,174.0,0.099767655
175.0,175.0,0.0017786203
176.0,176.0,1.1188587E-4
177.0,177.0,0.0024633845
178.0,178.0,2.691527E-7
179.0,179.0,0.0023086013
180.0,180.0,2.4452436E-4
181.0,181.0,0.020335548
182.0,182.0,0.017457142
183.0,183.0,1.3219035E-4
184.0,184.0,3.5615762E-6
185.0,185.0,2.8332332E-5
186.0,186.0,0.0012147396
187.0,187.0,0.0345141
188.0,188.0,1.7005725E-5
189.0,189.0,0.0010846942
190.0,190.0,1.6169429E-6
191.0,191.0,0.6617074
192.0,192.0,0.009849354
193.0,193.0,0.0011701867
194.0,194.0,0.009301861
195.0,195.0,0.0016388491
196.0,196.0,4.094781E-6
197.0,197.0,1.10590314E-4
198.0,198.0,0.001681897
199.0,199.0,7.0594903E-4
200.0,200.0,2.654572E-4
201.0,201.0,5.056414E-6
202.0,202.0,0.055813964
203.0,203.0,0.07027995
204.0,204.0,0.002968892
205.0,205.0,0.6882061
206.0,206.0,0.38100186
207.0,207.0,2.0768304E-5
208.0,208.0,8.5983676E-4
209.0,209.0,4.73708E-4
210.0,210.0,0.0016515917
211.0,211.0,1.5887778E-4
212.0,212.0,0.0027299772
213.0,213.0,1.570205E-4
214.0,214.0,0.011214152
215.0,215.0,6.7941844E-5
216.0,216.0,0.0010720331
217.0,217.0,5.138215E-6
218.0,218.0,0.0034239586
219.0,219.0,0.0054310383
220.0,220.0,0.0010574983
221.0,221.0,0.0036868895
222.0,222.0,4.7329722E-6
223.0,223.0,3.5427988E-6
224.0,224.0,0.46337777
225.0,225.0,0.03871617
226.0,226.0,5.4692593E-4
227.0,227.0,2.4902065E-5
228.0,228.0,7.085595E-5
229.0,229.0,0.0058132373
230.0,230.0,0.07981913
231.0,231.0,0.0014871481
232.0,232.0,0.0017585448
233.0,233.0,2.0748368E-4
234.0,234.0,0.6605608
235.0,235.0,0.6814565
236.0,236.0,1.0643537E-4
237.0,237.0,0.0017500959
238.0,238.0,0.0010686659
239.0,239.0,0.20126435
